ID,Group,Sex,Task_Order,L1,L1_Exp,L2_Exp,Prop_Gaze,Prop_Score,Block,Phase,Task
5235,2,1,Aud,BASQUE,55.6,44.4,,,1,Pre-switch,Auditory
5239,1,2,Aud,BASQUE,100,,0,0,1,Pre-switch,Auditory
5244,1,1,Aud,SPANISH  ,99.6,0.4,0.333333333,0.333333333,1,Pre-switch,Auditory
5257,2,1,Aud,BASQUE,51.1,48.9,,,1,Pre-switch,Auditory
5269,2,2,Vis,BASQUE,51.8,48.2,0,0,1,Pre-switch,Auditory
5270,1,2,Vis,BASQUE,100,,0.194444444,0.333333333,1,Pre-switch,Auditory
5278,1,1,Vis,SPANISH,100,,1,1,1,Pre-switch,Auditory
5298,1,2,Aud,BASQUE,94.3,5.7,0.333333333,0.333333333,1,Pre-switch,Auditory
5300,1,1,Aud,SPANISH ,93.5,6.5,0.730796442,0.5,1,Pre-switch,Auditory
5303,2,2,Vis,SPANISH,64.4,35.6,1,1,1,Pre-switch,Auditory
5304,2,2,Vis,BASQUE,54,46,0.477941176,0.5,1,Pre-switch,Auditory
5309,1,1,Vis,BASQUE,99.7,0.3,0.954545455,0.5,1,Pre-switch,Auditory
5314,2,1,Vis,SPANISH,62.9,37.1,,,1,Pre-switch,Auditory
5316,1,1,Vis,SPANISH,90.5,9.5,0.75,0.75,1,Pre-switch,Auditory
5317,1,2,Aud,SPANISH,100,,0.25,0.25,1,Pre-switch,Auditory
5322,2,1,Aud,SPANISH,51.8,48.2,0.972972973,0.75,1,Pre-switch,Auditory
5328,2,1,Aud,SPANISH,57.7,42.3,0,0,1,Pre-switch,Auditory
5331,1,2,Aud,BASQUE,91,9,0.5,0.5,1,Pre-switch,Auditory
5339,1,1,Vis,BASQUE,100,,0.762178435,0.75,1,Pre-switch,Auditory
5345,1,1,Vis,BASQUE,100,,0.75,0.75,1,Pre-switch,Auditory
5359,1,1,Vis,BASQUE,91.6,8.4,0.596666667,0.5,1,Pre-switch,Auditory
5360,2,2,Aud,BASQUE,51.5,48.5,,,1,Pre-switch,Auditory
5365,2,1,Aud,SPANISH,68.7,31.3,0.767788646,0.75,1,Pre-switch,Auditory
5369,1,1,Vis,BASQUE,100,,0.857142857,1,1,Pre-switch,Auditory
5371,1,2,Aud,BASQUE,99.1,0.9,1,1,1,Pre-switch,Auditory
5372,1,2,Aud,BASQUE,99.3,0.7,0.333333333,0.333333333,1,Pre-switch,Auditory
5373,1,1,Vis,SPANISH,98.2,1.8,0,0,1,Pre-switch,Auditory
5376,1,1,Aud,BASQUE,95.7,4.3,0.884615385,0.666666667,1,Pre-switch,Auditory
5381,1,1,Vis,BASQUE,97.5,2.5,0.932989691,1,1,Pre-switch,Auditory
5387,1,1,Aud,SPANISH,97,3,0,0,1,Pre-switch,Auditory
5390,2,2,Aud,BASQUE,60.4,39.6,1,1,1,Pre-switch,Auditory
5401,2,1,Aud,BASQUE,62,38,0.432291667,0.5,1,Pre-switch,Auditory
5406,2,2,Vis,SPANISH,67.7,32.3,0.405017637,0.25,1,Pre-switch,Auditory
5409,2,2,Aud,SPANISH,52,48,0.461538462,0.5,1,Pre-switch,Auditory
5410,1,1,Aud,BASQUE,97.6,2.4,1,0.666666667,1,Pre-switch,Auditory
5411,1,1,Vis,BASQUE,90.2,9.8,0.333333333,0.333333333,1,Pre-switch,Auditory
5413,2,2,Vis,SPANISH,74.7,25.3,0.529761905,0.5,1,Pre-switch,Auditory
5416,1,1,Vis,BASQUE ,97.7,2.3,0.155487805,0.25,1,Pre-switch,Auditory
5420,1,1,Aud,SPANISH,,,0.152263374,0,1,Pre-switch,Auditory
5421,1,1,Vis,BASQUE,96,4,1,1,1,Pre-switch,Auditory
5422,1,2,Aud,SPANISH,96.8,3.2,0.517045455,0.5,1,Pre-switch,Auditory
5425,1,2,Vis,SPANISH,100,,0.75,0.75,1,Pre-switch,Auditory
5430,1,1,Aud,BASQUE,100,,0,0,1,Pre-switch,Auditory
5444,2,2,Aud,BASQUE,55.4,44.6,0.489583333,0.333333333,1,Pre-switch,Auditory
5447,2,2,Vis,BASQUE,51.6,48.4,0.120567376,0,1,Pre-switch,Auditory
5523,1,2,Vis,SPANISH,100,,0.923728814,1,1,Pre-switch,Auditory
5527,2,2,Aud,SPANISH,63.5,36.5,0.666666667,0.5,1,Pre-switch,Auditory
5532,1,1,Vis,BASQUE,96.7,3.3,0.851551957,1,1,Pre-switch,Auditory
5533,2,2,Vis,SPANISH,68.2,31.8,1,0.75,1,Pre-switch,Auditory
5536,1,1,Aud,SPANISH,100,,0.007142857,0,1,Pre-switch,Auditory
