ID,Group,Sex,Task_Order,L1,L1_Exp,L2_Exp,AU_PRE_Block1,AU_PRE_Block2,AU_PRE_Block3,AU_POST_Block1,AU_POST_Block2,AU_POST_Block3,AU_PRE_Score_B1,AU_PRE_Score_B2,AU_PRE_Score_B3,AU_POST_Score_B1,AU_POST_Score_B2,AU_POST_Score_B3,VI_PRE_Block1,VI_PRE_Block2,VI_PRE_Block3,VI_POST_Block1,VI_POST_Block2,VI_POST_Block3,VI_PRE_Score_B1,VI_PRE_Score_B2,VI_PRE_Score_B3,VI_POST_Score_B1,VI_POST_Score_B2,VI_POST_Score_B3
5235,2,1,Aud,BASQUE,55.6,44.4,,,,,,,,,,,,,,0.666666667,0.5,1,1,1,,0.666666667,0.5,1,1,1
5239,1,2,Aud,BASQUE,100,,0,0.511363636,1,0.467661692,1,1,0,0.5,1,0.333333333,1,1,,1,1,0.5,1,1,,1,1,0.5,1,1
5244,1,1,Aud,SPANISH  ,99.6,0.4,0.333333333,1,0.666666667,0.551020408,0.5,0.333333333,0.333333333,1,0.666666667,0.5,0.5,0.5,1,1,1,0,0.5,0,1,1,1,0,0.5,0
5257,2,1,Aud,BASQUE,51.1,48.9,,,,,,,,,,,,,1,1,0.70212766,0,0.384615385,1,1,1,0.75,0,0.333333333,1
5269,2,2,Vis,BASQUE,51.8,48.2,0,1,0.257692308,0,1,0.933333333,0,1,0.25,0,1,0.5,1,1,1,0.5,,1,1,1,1,0.5,,1
5270,1,2,Vis,BASQUE,100,,0.194444444,0,1,1,1,0.5,0.333333333,0,0.5,1,1,0.5,,,,,0,0.943181818,,,,,0,1
5278,1,1,Vis,SPANISH,100,,1,1,1,0,0.1875,0,1,1,1,0,0.25,0,0,0,0,0.5,,0,0,0,0,0.5,,0
5298,1,2,Aud,BASQUE,94.3,5.7,0.333333333,0.794444444,0.333333333,0.625,0,0.930555556,0.333333333,1,0.333333333,0.5,0,1,,0.833333333,1,1,,,,1,1,1,,
5300,1,1,Aud,SPANISH ,93.5,6.5,0.730796442,1,0.5,0.6875,0.403535354,0.5,0.5,1,0.5,0.75,0.333333333,0.5,1,1,,1,1,,1,1,,1,1,
5303,2,2,Vis,SPANISH,64.4,35.6,1,1,0.87012987,0.034883721,0.02,,1,1,1,0,0,,,1,1,0,,1,,1,1,0,,1
5304,2,2,Vis,BASQUE,54,46,0.477941176,0,0.666666667,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,,,,,,,,,,,,
5309,1,1,Vis,BASQUE,99.7,0.3,0.954545455,0.405157343,0.436170213,1,0.584615385,1,0.5,0.25,0.5,1,0.25,1,0.25,,0.5,,0,0,0.25,,0.5,,0,0
5314,2,1,Vis,SPANISH,62.9,37.1,,,,,,,,,,,,,0.5,0.333333333,0.5,,0,1,0.5,0.333333333,0.5,,0,1
5316,1,1,Vis,SPANISH,90.5,9.5,0.75,0.75,0.940721649,0.838274933,0.571428571,0.75,0.75,0.75,1,0.75,0.5,0.75,0,0.5,0,0,0.666666667,0.678082192,0,0.5,0,0,0.666666667,0.5
5317,1,2,Aud,SPANISH,100,,0.25,0,0.401960784,1,0.5,0.291666667,0.25,0,0.25,1,0.5,0.25,1,1,1,0,0,1,1,1,1,0,0,1
5322,2,1,Aud,SPANISH,51.8,48.2,0.972972973,0,0.952380952,0.380952381,0.333333333,0,0.75,0,1,0.5,0.333333333,0,,,,,,,,,,,,
