ID,Group,Sex,Task_Order,L1,L1_Exp,L2_Exp,Prop_Gaze,Block,Phase,Task
5235,2,1,Aud,BASQUE,55.6,44.4,,1,Pre-switch,Auditory
5239,1,2,Aud,BASQUE,100,,0.949379583,1,Pre-switch,Auditory
5244,1,1,Aud,SPANISH  ,99.6,0.4,0.807870698,1,Pre-switch,Auditory
5257,2,1,Aud,BASQUE,51.1,48.9,,1,Pre-switch,Auditory
5269,2,2,Vis,BASQUE,51.8,48.2,0.903239706,1,Pre-switch,Auditory
5270,1,2,Vis,BASQUE,100,,0.843168621,1,Pre-switch,Auditory
5278,1,1,Vis,SPANISH,100,,1,1,Pre-switch,Auditory
5298,1,2,Aud,BASQUE,94.3,5.7,0.976003065,1,Pre-switch,Auditory
5300,1,1,Aud,SPANISH ,93.5,6.5,0.987676056,1,Pre-switch,Auditory
5303,2,2,Vis,SPANISH,64.4,35.6,1,1,Pre-switch,Auditory
5304,2,2,Vis,BASQUE,54,46,0.801612617,1,Pre-switch,Auditory
5309,1,1,Vis,BASQUE,99.7,0.3,0.912951496,1,Pre-switch,Auditory
5314,2,1,Vis,SPANISH,62.9,37.1,,1,Pre-switch,Auditory
5316,1,1,Vis,SPANISH,90.5,9.5,0.948611111,1,Pre-switch,Auditory
5317,1,2,Aud,SPANISH,100,,0.826463161,1,Pre-switch,Auditory
5322,2,1,Aud,SPANISH,51.8,48.2,0.644407895,1,Pre-switch,Auditory
5328,2,1,Aud,SPANISH,57.7,42.3,0.839125659,1,Pre-switch,Auditory
5331,1,2,Aud,BASQUE,91,9,0.465044743,1,Pre-switch,Auditory
5339,1,1,Vis,BASQUE,100,,0.853535354,1,Pre-switch,Auditory
5345,1,1,Vis,BASQUE,100,,0.950255102,1,Pre-switch,Auditory
5359,1,1,Vis,BASQUE,91.6,8.4,0.958256422,1,Pre-switch,Auditory
5360,2,2,Aud,BASQUE,51.5,48.5,0.832096475,1,Pre-switch,Auditory
5365,2,1,Aud,SPANISH,68.7,31.3,1,1,Pre-switch,Auditory
5369,1,1,Vis,BASQUE,100,,1,1,Pre-switch,Auditory
5371,1,2,Aud,BASQUE,99.1,0.9,1,1,Pre-switch,Auditory
5372,1,2,Aud,BASQUE,99.3,0.7,0.689086294,1,Pre-switch,Auditory
5373,1,1,Vis,SPANISH,98.2,1.8,0.772993089,1,Pre-switch,Auditory
5376,1,1,Aud,BASQUE,95.7,4.3,0.872053872,1,Pre-switch,Auditory
5381,1,1,Vis,BASQUE,97.5,2.5,0.921717172,1,Pre-switch,Auditory
5387,1,1,Aud,SPANISH,97,3,0.878835271,1,Pre-switch,Auditory
5390,2,2,Aud,BASQUE,60.4,39.6,0.965206186,1,Pre-switch,Auditory
5401,2,1,Aud,BASQUE,62,38,0.878125,1,Pre-switch,Auditory
5406,2,2,Vis,SPANISH,67.7,32.3,0.926896516,1,Pre-switch,Auditory
5409,2,2,Aud,SPANISH,52,48,0.931458512,1,Pre-switch,Auditory
5410,1,1,Aud,BASQUE,97.6,2.4,0.946078431,1,Pre-switch,Auditory
5411,1,1,Vis,BASQUE,90.2,9.8,0.945945946,1,Pre-switch,Auditory
5413,2,2,Vis,SPANISH,74.7,25.3,0.864105128,1,Pre-switch,Auditory
5416,1,1,Vis,BASQUE ,97.7,2.3,0.871237526,1,Pre-switch,Auditory
5420,1,1,Aud,SPANISH,,,0.723061537,1,Pre-switch,Auditory
5421,1,1,Vis,BASQUE,96,4,0.948979592,1,Pre-switch,Auditory
5422,1,2,Aud,SPANISH,96.8,3.2,1,1,Pre-switch,Auditory
5425,1,2,Vis,SPANISH,100,,0.799535483,1,Pre-switch,Auditory
5430,1,1,Aud,BASQUE,100,,0.703364424,1,Pre-switch,Auditory
5444,2,2,Aud,BASQUE,55.4,44.6,0.996192893,1,Pre-switch,Auditory
5447,2,2,Vis,BASQUE,51.6,48.4,0.84979234,1,Pre-switch,Auditory
5523,1,2,Vis,SPANISH,100,,0.90984258,1,Pre-switch,Auditory
5527,2,2,Aud,SPANISH,63.5,36.5,0.918345149,1,Pre-switch,Auditory
5532,1,1,Vis,BASQUE,96.7,3.3,0.940451469,1,Pre-switch,Auditory
5533,2,2,Vis,SPANISH,68.2,31.8,1,1,Pre-switch,Auditory
5536,1,1,Aud,SPANISH,100,,0.890771396,1,Pre-switch,Auditory
5539,1,1,Aud,SPANISH,100,,0.540118925,1,Pre-switch,Auditory
5541,1,1,Aud,BASQUE ,90.2,9.8,0.858585859,1,Pre-switch,Auditory
5542,2,2,Vis,BASQUE ,55.7,44.3,0.868686869,1,Pre-switch,Auditory
5553,2,2,Aud,SPANISH,63.9,36.1,0.939087389,1,Pre-switch,Auditory
5555,2,2,Vis,BASQUE,66.2,33.8,,1,Pre-switch,Auditory
5563,2,2,Aud,SPANISH,51.1,48.9,0.946212121,1,Pre-switch,Auditory
5566,2,2,Vis,SPANISH,56.5,43.5,0.917973707,1,Pre-switch,Auditory
5571,2,1,Vis,SPANISH,71,29,0.964467005,1,Pre-switch,Auditory
5572,2,1,Aud,SPANISH,56.5,43.5,,1,Pre-switch,Auditory
5578,2,2,Aud,SPANISH,71.6,28.4,0.633333333,1,Pre-switch,Auditory
5587,1,2,Vis,SPANISH,96.5,3.5,0.947435897,1,Pre-switch,Auditory
5588,1,2,Aud,BASQUE,91,9,0.872474747,1,Pre-switch,Auditory
5592,1,1,Aud,SPANISH,96.2,3.8,0.304273504,1,Pre-switch,Auditory
5593,2,2,Aud,BASQUE,56.7,43.3,0.998704663,1,Pre-switch,Auditory
5596,2,2,Aud,SPANISH,57.5,42.5,0.893171713,1,Pre-switch,Auditory
5598,2,1,Aud,SPANISH ,74.3,25.7,0.981060606,1,Pre-switch,Auditory
5600,1,1,Aud,BASQUE,97.6,2.4,0.833329082,1,Pre-switch,Auditory
5604,1,2,Vis,BASQUE,100,,,1,Pre-switch,Auditory
5605,2,2,Vis,BASQUE ,50.4,49.6,0.868493445,1,Pre-switch,Auditory
5611,1,1,Vis,BASQUE,94.8,4.2,0.85022096,1,Pre-switch,Auditory
5620,2,1,Vis,SPANISH,73.3,26.7,0.886336336,1,Pre-switch,Auditory
5629,2,2,Vis,SPANISH,54.3,45.7,0.822617033,1,Pre-switch,Auditory
5563b,2,2,Aud,BASQUE,64.5,35.5,0.759040959,1,Pre-switch,Auditory
5235,2,1,Aud,BASQUE,55.6,44.4,,2,Pre-switch,Auditory
5239,1,2,Aud,BASQUE,100,,1,2,Pre-switch,Auditory
5244,1,1,Aud,SPANISH  ,99.6,0.4,0.936363636,2,Pre-switch,Auditory
5257,2,1,Aud,BASQUE,51.1,48.9,,2,Pre-switch,Auditory
5269,2,2,Vis,BASQUE,51.8,48.2,0.981481481,2,Pre-switch,Auditory
5270,1,2,Vis,BASQUE,100,,0.786679827,2,Pre-switch,Auditory
5278,1,1,Vis,SPANISH,100,,0.75,2,Pre-switch,Auditory
5298,1,2,Aud,BASQUE,94.3,5.7,0.98625123,2,Pre-switch,Auditory
5300,1,1,Aud,SPANISH ,93.5,6.5,0.908396947,2,Pre-switch,Auditory
5303,2,2,Vis,SPANISH,64.4,35.6,0.987804878,2,Pre-switch,Auditory
5304,2,2,Vis,BASQUE,54,46,0,2,Pre-switch,Auditory
5309,1,1,Vis,BASQUE,99.7,0.3,0.781793657,2,Pre-switch,Auditory
5314,2,1,Vis,SPANISH,62.9,37.1,,2,Pre-switch,Auditory
5316,1,1,Vis,SPANISH,90.5,9.5,0.949494949,2,Pre-switch,Auditory
5317,1,2,Aud,SPANISH,100,,0.970268725,2,Pre-switch,Auditory
5322,2,1,Aud,SPANISH,51.8,48.2,0.532258065,2,Pre-switch,Auditory
