ID,Group,Sex,Task_Order,L1,L1_Exp,L2_Exp,AU_PRE_Block1,AU_PRE_Block2,AU_PRE_Block3,AU_POST_Block1,AU_POST_Block2,AU_POST_Block3,VI_PRE_Block1,VI_PRE_Block2,VI_PRE_Block3,VI_POST_Block1,VI_POST_Block2,VI_POST_Block3
5235,2,1,Aud,BASQUE,55.6,44.4,,,,,,,0.806962025,0.698888889,0.754305396,0.549992572,0.648148148,1
5239,1,2,Aud,BASQUE,100,,0.949379583,1,0.977011494,0.941919192,0.959635417,1,0.777777778,0.980769231,0.906504065,0.5,1,0.839500559
5244,1,1,Aud,SPANISH  ,99.6,0.4,0.807870698,0.936363636,0.900355036,0.805952381,0.568527919,1,0.922535211,0.894308943,0.867768595,0.639705882,0.1523705,0.444675926
5257,2,1,Aud,BASQUE,51.1,48.9,,,,,,,0.948113208,0.852272727,1,0.43811406,0.580208868,0.668118045
5269,2,2,Vis,BASQUE,51.8,48.2,0.903239706,0.981481481,0.967309378,1,0.876760563,1,0,0.666666667,0.885416667,0.230263158,0.384615385,0.869047619
5270,1,2,Vis,BASQUE,100,,0.843168621,0.786679827,0.50144739,0.851798433,0.760812201,0.689236592,1,1,1,0.444685829,0.599532686,0.618834688
5278,1,1,Vis,SPANISH,100,,1,0.75,,0,0.488235294,0.206896552,1,0.333333333,0.114583333,0.769736842,0.615384615,0.130952381
5298,1,2,Aud,BASQUE,94.3,5.7,0.976003065,0.98625123,0.869909308,1,0.589928058,0.916666667,1,0.797297297,0.771578467,0.718137255,0.457854406,1
5300,1,1,Aud,SPANISH ,93.5,6.5,0.987676056,0.908396947,0.497435897,0.830265535,0.8589701,1,0.863372093,1,0.984693878,0.25,0.242872807,0.206859317
5303,2,2,Vis,SPANISH,64.4,35.6,1,0.987804878,1,0.987650285,0.902737905,1,0.585470085,0.81959707,0.971155261,0.554946524,0.517156863,0.329071797
5304,2,2,Vis,BASQUE,54,46,0.801612617,0,1,0.769230769,0.934343434,1,,,,,,
5309,1,1,Vis,BASQUE,99.7,0.3,0.912951496,0.781793657,0.707058253,0.933725233,0.90625,0.974121516,0.911616162,0.681616833,0.598611111,0.933333333,0.178861789,0.583333333
5314,2,1,Vis,SPANISH,62.9,37.1,,,,,,,0.68315037,0,0.375,0.549813929,0.159090909,1
5316,1,1,Vis,SPANISH,90.5,9.5,0.948611111,0.949494949,0.978197674,0.919818064,0.952564103,1,0.75,0.816978193,0.984496124,0.095364583,0.795608108,0.832080201
5317,1,2,Aud,SPANISH,100,,0.826463161,0.970268725,1,1,0.416243655,0.837296037,0.654751499,0.710996564,0.893333333,0.199468079,0.190883191,0.814366972
5322,2,1,Aud,SPANISH,51.8,48.2,0.644407895,0.532258065,0.662309368,0.734704661,0.829101613,0.751010101,,,,,,
5328,2,1,Aud,SPANISH,57.7,42.3,0.839125659,0.987828283,0.93974359,0.972222222,0.789069264,0.977011494,0.705555556,0.9375,0.746433424,0.389063959,0.710906402,0.88961039
5331,1,2,Aud,BASQUE,91,9,0.465044743,,0.868427128,0.76404032,0.834432234,,0.901639344,0.646341463,0.775590551,0.057017544,0.209737828,0.482944951
5339,1,1,Vis,BASQUE,100,,0.853535354,0.923992835,1,0.907165812,0.840912525,0.621270947,0.78313253,0.95,0.70739726,0.538072562,0.591503268,0.553489271
5345,1,1,Vis,BASQUE,100,,0.950255102,0.931402662,1,0.740538734,0.534699628,0.816861903,1,1,0.734095269,0.066037736,0.680851064,0.730952381
