id,id_eyetracking_parsed,id_metadata,id_raw_aud,id_raw_vis
5235,5235,5235,ica5235,icv5235
5239,5239,5239,ica5239,icv5239
5244,5244,5244,ca524401,icv5244
5257,5257,5257,ica5257,icv5257
5269,5269,5269,ica5269,icv5269
5270,5270,5270,ica5270,icv5270
5278,5278,5278,ica5278,icv5278
5298,5298,5298,ica5298,icv5298
5300,5300,5300,ica53002,icv5300
5303,5303,5303,ica5303,icv5303
5304,5304,5304,ica5304,icv5304
5309,5309,5309,ica5309,icv5309
5314,NA,5314,NA,icv5314
5316,5316,5316,ica5316,icv5316
5317,5317,5317,ica5317,icv5317
5322,5322,5322,ica5322,icv5322
5328,5328,5328,ica5328,icv5328
5331,5331,5331,ica5331,icv5331
5339,5339,5339,ica5339,icv5339
5345,5345,5345,ica5345,icv5345
5359,5359,5359,ica5359,icv5359
5360,5360,5360,ica5360,icv5360
5365,5365,5365,ica5365,icv5365
5369,5369,5369,ica5369,icv5369
5371,5371,5371,ica5371,icv5371
5372,5372,5372,ica5372,icv5372
5373,5373,5373,ica5373,icv5373
5376,5376,5376,ica5376,icv5376
5381,5381,5381,ica5381,icv5381
5387,5387,5387,ica5387,icv5387
5390,5390,5390,ica5390,icv5390
5401,5401,5401,ica5401,icv5401
5406,5406,5406,ica5406,icv5406
5409,5409,5409,ica5409,icv5409
5410,5410,5410,ica5410,icv5410
5411,5411,5411,ica5411,icv5411
5413,5413,5413,ica5413,icv5413
5416,5416,5416,ica5416,ica5416
5420,5420,5420,ica5420,icv5420
5421,5421,5421,ica5421,icv5421
5422,5422,5422,ica5422,icv5422
5425,5425,5425,ica5425,icv5425
5430,5430,5430,ica5430,icv5430
5444,5444,5444,ica5444,icv5444
5447,5447,5447,ica5447,icv5447
5523,5523,5523,ica5523,icv5523
5527,5527,5527,ica5527,icv5527
5532,5532,5532,ica5532,NA
5533,5533,5533,ica5533,icv5533
5536,5536,5536,ica5536,icv5536
5539,5539,5539,ica5539,icv5539
5541,5541,5541,ica5541,icv5541
5542,5542,5542,ica5542,icv5542
5553,5553,5553,ica5553,NA
5555,NA,5555,NA,icv5555
5563,5563,5563,ica5563,icv5563
5566,5566,5566,ica5566,icv5566
5571,5571,5571,ica5571,icv5571
5572,NA,5572,NA,icv5572
5578,5578,5578,ica5578,icv5578
5587,5587,5587,ica5587,icv5587
5588,NA,5588,NA,icv5588
5592,5592,5592,ica5592,icv5592
5593,5593,5593,ica5593,icv5593
5596,5596,5596,ica5596,NA
5597,5597,5597,ica5597,icv5597
5598,5598,5598,ica5598,icv5598
5600,5600,5600,ica5600,icv5600
5604,5604,5604,ica5604,icv5604
5605,5605,5605,ica5605,icv5605
5611,5611,5611,ica5611,icv5611
5620,5620,5620,ica5620,icv5620
5629,5629,5629,ica5629,icv5629
5563b,5563b,5563b,ica5563b,icv5563b
5588a,5588a,NA,ic5588a,NA
5534,5534,NA,ica5534,icv5534
